Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,9225,2002,12,3.8,Y
IDCJAC0001,9225,2003,1,1.4,Y
IDCJAC0001,9225,2003,2,11,Y
IDCJAC0001,9225,2003,3,61.4,Y
IDCJAC0001,9225,2003,4,49,Y
IDCJAC0001,9225,2003,5,92.6,Y
IDCJAC0001,9225,2003,6,173.4,Y
IDCJAC0001,9225,2003,7,146,Y
IDCJAC0001,9225,2003,8,145,Y
IDCJAC0001,9225,2003,9,102,Y
IDCJAC0001,9225,2003,10,48.4,Y
IDCJAC0001,9225,2003,11,17.8,Y
IDCJAC0001,9225,2003,12,5.6,Y
IDCJAC0001,9225,2004,1,0,Y
IDCJAC0001,9225,2004,2,2,Y
IDCJAC0001,9225,2004,3,0,Y
IDCJAC0001,9225,2004,4,12,Y
IDCJAC0001,9225,2004,5,103.2,Y
IDCJAC0001,9225,2004,6,123.2,Y
IDCJAC0001,9225,2004,7,112.6,Y
IDCJAC0001,9225,2004,8,175.6,Y
IDCJAC0001,9225,2004,9,35.2,Y
IDCJAC0001,9225,2004,10,37.8,Y
IDCJAC0001,9225,2004,11,32.8,Y
IDCJAC0001,9225,2004,12,2.6,Y
IDCJAC0001,9225,2005,1,0,Y
IDCJAC0001,9225,2005,2,3,Y
IDCJAC0001,9225,2005,3,52.2,Y
IDCJAC0001,9225,2005,4,27.8,Y
IDCJAC0001,9225,2005,5,191.2,Y
IDCJAC0001,9225,2005,6,251,Y
IDCJAC0001,9225,2005,7,62.8,Y
IDCJAC0001,9225,2005,8,124.6,Y
IDCJAC0001,9225,2005,9,91,Y
IDCJAC0001,9225,2005,10,52.8,Y
IDCJAC0001,9225,2005,11,13.4,Y
IDCJAC0001,9225,2005,12,5,Y
IDCJAC0001,9225,2006,1,28.4,Y
IDCJAC0001,9225,2006,2,20.6,Y
IDCJAC0001,9225,2006,3,4.6,Y
IDCJAC0001,9225,2006,4,25.4,Y
IDCJAC0001,9225,2006,5,31,Y
IDCJAC0001,9225,2006,6,24.6,Y
IDCJAC0001,9225,2006,7,81,Y
IDCJAC0001,9225,2006,8,124.8,Y
IDCJAC0001,9225,2006,9,86.4,Y
IDCJAC0001,9225,2006,10,18.6,Y
IDCJAC0001,9225,2006,11,16.2,Y
IDCJAC0001,9225,2006,12,5.2,Y
IDCJAC0001,9225,2007,1,19.2,Y
IDCJAC0001,9225,2007,2,3.4,Y
IDCJAC0001,9225,2007,3,6.2,Y
IDCJAC0001,9225,2007,4,76.4,Y
IDCJAC0001,9225,2007,5,61.4,Y
IDCJAC0001,9225,2007,6,60,Y
IDCJAC0001,9225,2007,7,179.4,Y
IDCJAC0001,9225,2007,8,130.8,Y
IDCJAC0001,9225,2007,9,100.6,Y
IDCJAC0001,9225,2007,10,42.4,Y
IDCJAC0001,9225,2007,11,5.2,Y
IDCJAC0001,9225,2007,12,18,Y
IDCJAC0001,9225,2008,1,0,Y
IDCJAC0001,9225,2008,2,47.6,Y
IDCJAC0001,9225,2008,3,14.2,Y
IDCJAC0001,9225,2008,4,153.6,Y
IDCJAC0001,9225,2008,5,59.6,Y
IDCJAC0001,9225,2008,6,142,Y
IDCJAC0001,9225,2008,7,179.4,Y
IDCJAC0001,9225,2008,8,27.8,N
IDCJAC0001,9225,2008,9,75.8,N
IDCJAC0001,9225,2008,10,38.4,N
IDCJAC0001,9225,2008,11,57.8,N
IDCJAC0001,9225,2008,12,11.6,N
IDCJAC0001,9225,2009,1,0.2,N
IDCJAC0001,9225,2009,2,8.2,N
IDCJAC0001,9225,2009,3,6.8,N
IDCJAC0001,9225,2009,4,5,N
IDCJAC0001,9225,2009,5,46,N
IDCJAC0001,9225,2009,6,156.2,N
IDCJAC0001,9225,2009,7,148.6,Y
IDCJAC0001,9225,2009,8,111,N
IDCJAC0001,9225,2009,9,80.2,N
IDCJAC0001,9225,2009,10,6.8,N
IDCJAC0001,9225,2009,11,38.2,N
IDCJAC0001,9225,2009,12,0,N
IDCJAC0001,9225,2010,1,0,N
IDCJAC0001,9225,2010,2,0.2,N
IDCJAC0001,9225,2010,3,40.4,N
IDCJAC0001,9225,2010,4,25,N
IDCJAC0001,9225,2010,5,88.6,N
IDCJAC0001,9225,2010,6,51.4,N
IDCJAC0001,9225,2010,7,142,N
IDCJAC0001,9225,2010,8,63,N
IDCJAC0001,9225,2010,9,43.6,N
IDCJAC0001,9225,2010,10,20.6,N
IDCJAC0001,9225,2010,11,11.6,N
IDCJAC0001,9225,2010,12,17.4,N
IDCJAC0001,9225,2011,1,30.2,N
IDCJAC0001,9225,2011,2,0.4,N
IDCJAC0001,9225,2011,3,0,N
IDCJAC0001,9225,2011,4,19.4,N
IDCJAC0001,9225,2011,5,85,N
IDCJAC0001,9225,2011,6,171.4,N
IDCJAC0001,9225,2011,7,161,N
IDCJAC0001,9225,2011,8,115.2,N
IDCJAC0001,9225,2011,9,109.2,N
IDCJAC0001,9225,2011,10,64.2,N
IDCJAC0001,9225,2011,11,29,N
IDCJAC0001,9225,2011,12,75.8,N
IDCJAC0001,9225,2012,1,18.8,N
IDCJAC0001,9225,2012,2,23.6,N
IDCJAC0001,9225,2012,3,0.2,N
IDCJAC0001,9225,2012,4,69.2,Y
IDCJAC0001,9225,2012,5,49,N
IDCJAC0001,9225,2012,6,140.8,N
IDCJAC0001,9225,2012,7,34.6,N
IDCJAC0001,9225,2012,8,87.2,N
IDCJAC0001,9225,2012,9,90.8,N
IDCJAC0001,9225,2012,10,15.6,N
IDCJAC0001,9225,2012,11,58.2,N
IDCJAC0001,9225,2012,12,20.2,N
IDCJAC0001,9225,2013,1,7.2,Y
IDCJAC0001,9225,2013,2,0.8,Y
IDCJAC0001,9225,2013,3,69.6,N
IDCJAC0001,9225,2013,4,21,N
IDCJAC0001,9225,2013,5,138.2,Y
IDCJAC0001,9225,2013,6,44,Y
IDCJAC0001,9225,2013,7,140,Y
IDCJAC0001,9225,2013,8,167.4,N
IDCJAC0001,9225,2013,9,144.2,N
IDCJAC0001,9225,2013,10,38,N
IDCJAC0001,9225,2013,11,10.2,N
IDCJAC0001,9225,2013,12,1.8,N
IDCJAC0001,9225,2014,1,0.2,Y
IDCJAC0001,9225,2014,2,0,N
IDCJAC0001,9225,2014,3,7.4,N
IDCJAC0001,9225,2014,4,24.6,N
IDCJAC0001,9225,2014,5,152.6,N
IDCJAC0001,9225,2014,6,93.6,N
IDCJAC0001,9225,2014,7,151.2,Y
